suburb,Year,House price,Vacant Price,Unit price
ALFREDTON,2015,340500,180000,254000
ALFREDTON,2016,375000,183500,285000
ALFREDTON,2017,412500,152000,290000
ALFREDTON,2018,439000,155000,242000
ALFREDTON,2019,480000,170000,277000
ALTONA NORTH,2015,645000,484000,530000
ALTONA NORTH,2016,726000,416000,532000
ALTONA NORTH,2017,828000,284500,635000
ALTONA NORTH,2018,840000,403500,650000
ALTONA NORTH,2019,788500,440000,630000
ANGLESEA,2015,635000,420000,461500
ANGLESEA,2016,652500,380000,570000
ANGLESEA,2017,788000,448000,670000
ANGLESEA,2018,861000,550000,690000
ANGLESEA,2019,905000,675000,755000
APOLLO BAY,2015,435000,190000,375000
APOLLO BAY,2016,480000,182500,415000
APOLLO BAY,2017,545000,185000,415000
APOLLO BAY,2018,550000,225000,375000
APOLLO BAY,2019,597500,244000,534000
ARARAT,2015,210000,83500,170000
ARARAT,2016,204500,50000,191500
ARARAT,2017,200000,97500,133500
ARARAT,2018,199000,99500,209000
ARARAT,2019,216500,91000,207000
BACCHUS MARSH,2015,355000,152000,279000
BACCHUS MARSH,2016,376000,148000,287000
BACCHUS MARSH,2017,415500,165000,305000
BACCHUS MARSH,2018,480000,215000,294000
BACCHUS MARSH,2019,500000,230000,393000
BAIRNSDALE,2015,246500,97500,216000
BAIRNSDALE,2016,255000,106000,211500
BAIRNSDALE,2017,270000,107500,225000
BAIRNSDALE,2018,276000,117500,215000
BAIRNSDALE,2019,274000,116000,215000
BALLAN,2015,359000,133000,315000
BALLAN,2016,370000,135000,320000
BALLAN,2017,417000,140000,340000
BALLAN,2018,462000,172500,390000
BALLAN,2019,450000,215000,337000
BALLARAT EAST,2015,275000,108500,267000
BALLARAT EAST,2016,295000,106000,230000
BALLARAT EAST,2017,310000,142500,272500
BALLARAT EAST,2018,340000,147500,282500
BALLARAT EAST,2019,360000,166500,299500
BEACONSFIELD,2015,559000,200500,400500
BEACONSFIELD,2016,585000,205000,398000
BEACONSFIELD,2017,694500,263000,463000
BEACONSFIELD,2018,730000,277500,460000
BEACONSFIELD,2019,690000,291000,454000
BELL PARK,2015,340000,125500,293000
BELL PARK,2016,360000,104000,316000
BELL PARK,2017,400000,153000,343000
BELL PARK,2018,452500,167500,392000
BELL PARK,2019,482000,360000,397500
BELMONT,2015,395000,180000,310000
BELMONT,2016,430000,129500,300000
BELMONT,2017,500000,450000,356000
BELMONT,2018,545000,220000,388500
BELMONT,2019,545000,261500,419000
BENALLA,2015,222500,104000,186000
BENALLA,2016,231500,100000,181500
BENALLA,2017,250000,96500,185000
BENALLA,2018,284000,113000,185000
BENALLA,2019,290000,129500,210000
BERWICK,2015,535000,289000,425000
BERWICK,2016,583000,331000,427000
BERWICK,2017,670000,385000,492000
BERWICK,2018,691500,455000,515000
BERWICK,2019,673500,482500,522500
BITTERN,2015,382500,41000,355000
BITTERN,2016,464000,315000,340000
BITTERN,2017,526500,320000,433000
BITTERN,2018,650000,560000,497500
BITTERN,2019,577500,405000,471500
BRIGHT,2015,392500,177500,260000
BRIGHT,2016,429500,209000,273000
BRIGHT,2017,495000,229000,349000
BRIGHT,2018,590000,272500,342500
BRIGHT,2019,580000,287500,450000
BROOKFIELD,2015,340000,142000,212500
BROOKFIELD,2016,360000,150000,273000
BROOKFIELD,2017,425000,162000,335000
BROOKFIELD,2018,491500,218000,400000
BROOKFIELD,2019,445000,235000,455000
BROWN HILL,2015,270000,162500,249000
BROWN HILL,2016,338000,180000,247500
BROWN HILL,2017,350000,190000,255500
BROWN HILL,2018,405000,182500,285000
BROWN HILL,2019,449000,181000,297500
BUNDOORA,2015,600500,305000,410000
BUNDOORA,2016,651000,650000,400000
BUNDOORA,2017,754000,685000,430000
BUNDOORA,2018,730000,772500,438500
BUNDOORA,2019,727500,420000,400000
BUNYIP,2015,420000,154000,270000
BUNYIP,2016,357500,180000,327500
BUNYIP,2017,437500,241500,310000
BUNYIP,2018,550000,275000,250000
BUNYIP,2019,501000,280000,397500
CANADIAN,2015,345000,140000,270000
CANADIAN,2016,339000,109500,250000
CANADIAN,2017,334500,125000,279000
CANADIAN,2018,373000,145000,270500
CANADIAN,2019,377500,147500,301500
CARRUM DOWNS,2015,370000,225000,319000
CARRUM DOWNS,2016,430000,235000,344000
CARRUM DOWNS,2017,530000,300500,387500
CARRUM DOWNS,2018,575000,375000,430000
CARRUM DOWNS,2019,537500,370000,431000
CASTLEMAINE,2015,380000,130000,317500
CASTLEMAINE,2016,410000,150000,327500
CASTLEMAINE,2017,435000,181000,332500
CASTLEMAINE,2018,499000,190000,396500
CASTLEMAINE,2019,520000,267500,420000
CHIRNSIDE PARK,2015,542500,315500,464000
CHIRNSIDE PARK,2016,627000,408000,476500
CHIRNSIDE PARK,2017,735000,472000,495000
CHIRNSIDE PARK,2018,700000,520000,532500
CHIRNSIDE PARK,2019,685000,407500,610000
CLYDE NORTH,2015,410000,230000,211000
CLYDE NORTH,2016,491000,243000,372000
CLYDE NORTH,2017,550000,300000,385000
CLYDE NORTH,2018,600000,336000,460500
CLYDE NORTH,2019,584500,320000,518500
COBRAM,2015,236000,78000,170000
COBRAM,2016,265000,80500,195000
COBRAM,2017,255000,81500,185000
COBRAM,2018,255000,100500,180000
COBRAM,2019,272500,104500,215000
